sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
BE-SC-SH-1	211646	157272	74.31	151043	122001	57.64	118022	55.76
BE-SC-SH-2	309097	235485	76.18	227401	190269	61.56	184095	59.56
BE-SC-SH-3	52687	28539	54.17	26362	17237	32.72	16222	30.79
BE-SC-SH-4	144227	108059	74.92	103713	83773	58.08	81473	56.49
BE-SC-SH-5	39176	5172	13.2	4321	1842	4.7	1415	3.61
BE-SC-SH-5-RE	8991	7319	81.4	6378	4290	47.71	3994	44.42
BE-SL-AN-1	78072	54476	69.78	51567	37489	48.02	36309	46.51
BE-SL-AN-2	114302	83035	72.65	77972	57293	50.12	55122	48.22
BE-SL-AN-3	541	268	49.54	119	13	2.4	13	2.4
BE-SL-AN-3-RE	35180	29229	83.08	25723	16789	47.72	15679	44.57
BE-SL-AN-4	285550	200000	70.04	194144	161853	56.68	158118	55.37
BE-SL-AN-5	138884	94569	68.09	89756	68366	49.23	66320	47.75
BE-SL-BE-1	85183	58415	68.58	55034	39416	46.27	37691	44.25
BE-SL-BE-2	78372	58254	74.33	53207	34952	44.6	33118	42.26
BE-SL-BE-3	77390	59090	76.35	55114	39838	51.48	38204	49.37
BE-SL-BE-4	18454	14061	76.19	12490	7270	39.4	6819	36.95
BE-SL-BE-5	52897	39270	74.24	36735	25955	49.07	24869	47.01
BE-SL-SH-1	56661	43206	76.25	40676	30569	53.95	29518	52.1
