sample-id	id	Plate	Type	Soil	Soil.Type	Soil.Location	Location	Group	original_reads	input	filtered	denoised	merged	non-chimeric	ASV	Repeat	Analysis
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	numeric	numeric	numeric	numeric	numeric	numeric	numeric	categorical	categorical
WH.SC.SH.4	WH.SC.SH.4	3	Wheat	SC	WH.SC	SC.SH	SH	WH.SC.SH	29877	29877	9871	8559	5791	5093	5082	TRUE	Exclude
WH.SC.SH.4.RE	WH.SC.SH.4.RE	4	Wheat	SC	WH.SC	SC.SH	SH	WH.SC.SH	38866	38866	33394	29796	22115	20412	20083	TRUE	Include
WH.SC.SH.5	WH.SC.SH.5	3	Wheat	SC	WH.SC	SC.SH	SH	WH.SC.SH	62167	62167	53153	49688	42620	40569	40211	FALSE	Include
WH.SL.AN.1	WH.SL.AN.1	3	Wheat	SL	WH.SL	SL.AN	AN	WH.SL.AN	80235	80235	70457	66103	56209	53234	52716	FALSE	Include
WH.SL.AN.2	WH.SL.AN.2	3	Wheat	SL	WH.SL	SL.AN	AN	WH.SL.AN	76813	76813	65643	61226	51118	47833	47365	FALSE	Include
WH.SL.AN.3	WH.SL.AN.3	3	Wheat	SL	WH.SL	SL.AN	AN	WH.SL.AN	73929	73929	63618	59870	50463	47826	47248	FALSE	Include
WH.SL.AN.4	WH.SL.AN.4	3	Wheat	SL	WH.SL	SL.AN	AN	WH.SL.AN	35887	35887	30615	28267	23136	21819	21566	FALSE	Include
WH.SL.AN.5	WH.SL.AN.5	3	Wheat	SL	WH.SL	SL.AN	AN	WH.SL.AN	95025	95025	82203	77193	65868	62221	61467	FALSE	Include
WH.SL.BE.1	WH.SL.BE.1	3	Wheat	SL	WH.SL	SL.BE	BE	WH.SL.BE	72124	72124	61850	56268	44199	40680	39783	FALSE	Include
WH.SL.BE.2	WH.SL.BE.2	3	Wheat	SL	WH.SL	SL.BE	BE	WH.SL.BE	79207	79207	69039	63642	50636	47076	46163	FALSE	Include
WH.SL.BE.3	WH.SL.BE.3	3	Wheat	SL	WH.SL	SL.BE	BE	WH.SL.BE	83429	83429	73775	68045	54725	50813	50272	FALSE	Include
WH.SL.BE.4	WH.SL.BE.4	3	Wheat	SL	WH.SL	SL.BE	BE	WH.SL.BE	82816	82816	71385	66375	54323	50806	50113	FALSE	Include
WH.SL.SH.1	WH.SL.SH.1	3	Wheat	SL	WH.SL	SL.SH	SH	WH.SL.SH	60440	60440	52398	49172	42306	40583	40091	FALSE	Include
WH.SL.SH.2	WH.SL.SH.2	3	Wheat	SL	WH.SL	SL.SH	SH	WH.SL.SH	32949	32949	28314	25870	20943	19869	19661	FALSE	Include
WH.SL.SH.3	WH.SL.SH.3	3	Wheat	SL	WH.SL	SL.SH	SH	WH.SL.SH	106507	106507	92551	86893	74900	70394	69631	FALSE	Include
WH.SL.SH.4	WH.SL.SH.4	3	Wheat	SL	WH.SL	SL.SH	SH	WH.SL.SH	66076	66076	57596	53407	44215	41534	40987	FALSE	Include
WH.SL.SH.5	WH.SL.SH.5	3	Wheat	SL	WH.SL	SL.SH	SH	WH.SL.SH	100310	100310	87315	81990	70005	66211	65595	FALSE	Include
