sample-id	Sample	File_ID	Raw reads	Type	Soil	Soil.Type	Soil.Location	Location	Group	Run	Raw_reads
FB-SL-SH-01	N076	EKDN230025024-1A_HHG3HDSX7_L2	120329444	Beans	SL	FB-SL	SL.SH	SH	FB-SL-SH	1	120329444
FB-SL-SH-02	N077	EKDN230025025-1A_HHG3HDSX7_L2	105640196	Beans	SL	FB-SL	SL.SH	SH	FB-SL-SH	1	105640196
FB-SL-SH-03	N078	EKDN230025026-1A_HHG3HDSX7_L2	122686606	Beans	SL	FB-SL	SL.SH	SH	FB-SL-SH	1	122686606
FB-SL-SH-05	N080	EKDN230025028-1A_HHG3HDSX7_L3	173205484	Beans	SL	FB-SL	SL.SH	SH	FB-SL-SH	1	173205484
FB-SC-HE-01	N081	EKDN230025029-1A_HHG3HDSX7_L2	143643860	Beans	SC	FB-SC	SC.HE	HE	FB-SC-HE	1	143643860
FB-SC-HE-02	N082	EKDN230025030-1A_HKTCHDSX7_L1	159751742	Beans	SC	FB-SC	SC.HE	HE	FB-SC-HE	1	159751742
FB-SC-HE-03	N083	EKDN230025031-1A_HHG3HDSX7_L2	130304428	Beans	SC	FB-SC	SC.HE	HE	FB-SC-HE	1	130304428
FB-SC-HE-05	N085	EKDN230025033-1A_HKTCHDSX7_L1	140484974	Beans	SC	FB-SC	SC.HE	HE	FB-SC-HE	1	140484974
FB-SL-BE-01	N086	EKDN230025034-1A_HHG3HDSX7_L2	152364918	Beans	SL	FB-SL	SL.BE	BE	FB-SL-BE	1	152364918
FB-SL-BE-02	N087	EKDN230025035-1A_HJFJVDSX7_L2	166929516	Beans	SL	FB-SL	SL.BE	BE	FB-SL-BE	1	166929516
FB-SL-BE-03	N088	EKDN230025036-1A_HHG3HDSX7_L2	108456496	Beans	SL	FB-SL	SL.BE	BE	FB-SL-BE	1	108456496
FB-SL-BE-05	N090	EKDN230025038-1A_HHG3HDSX7_L2	146391632	Beans	SL	FB-SL	SL.BE	BE	FB-SL-BE	1	146391632
SB-SL-BE-03	N091	EKDN230025039-1A_HHG3HDSX7_L3	164829134	Barley	SL	SB-SL	SL.BE	BE	SB-SL-BE	1	164829134
SW-CL-BO-01	N092	EKDN230025040-1A_HHG3HDSX7_L2	119668718	Wheat	CL	SW-CL	CL.BO	BO	SW-CL-BO	1	119668718
SW-CL-BO-02	N093	EKDN230025041-1A_HHG3HDSX7_L2	121410174	Wheat	CL	SW-CL	CL.BO	BO	SW-CL-BO	1	121410174
SW-CL-BO-03	N094	EKDN230025042-1A_HHG3HDSX7_L2	135421836	Wheat	CL	SW-CL	CL.BO	BO	SW-CL-BO	1	135421836
SW-CL-BO-05	N096	EKDN230025044-1A_HHG3HDSX7_L2	131163140	Wheat	CL	SW-CL	CL.BO	BO	SW-CL-BO	1	131163140
SW-CY-YO-01	N097	EKDN230025045-1A_HHG3HDSX7_L2	129669210	Wheat	CY	SW-CY	CY.YO	YO	SW-CY-YO	1	129669210
