"","SU.CL.BO","SU.CL.YO","SU.CY.BU","SU.CY.YO","SU.SC.HE","SU.SC.SH","SU.SL.AN","SU.SL.BE","SU.SL.SH"
"Steroidobacter",1,1,0,1,1,1,0,1,1
"Streptomyces",1,1,1,1,1,1,1,1,1
"Streptosporangium",0,0,0,0,1,1,0,0,0
"Subgroup_10",1,1,1,1,0,1,1,1,1
"Subgroup_11",0,1,0,1,0,1,1,0,1
"Subgroup_17",1,1,0,1,0,1,1,1,1
"Subgroup_2",0,0,1,0,1,0,0,1,1
"Subgroup_22",1,1,0,1,0,1,1,1,1
"Subgroup_25",1,0,0,0,0,1,0,1,1
"Subgroup_5",1,1,1,1,1,1,1,1,1
"Subgroup_7",1,1,1,1,1,1,1,1,1
"Terrabacter",1,1,1,1,1,0,1,1,1
"Terrimonas",0,0,1,0,0,1,0,1,0
"TK10",1,1,1,1,1,1,1,1,1
"TRA3-20",1,1,1,1,0,1,1,1,1
"Tumebacillus",0,0,0,0,1,0,0,1,1
"Turicibacter",0,1,0,1,0,1,1,0,1
"Tychonema_CCAP_1459-11B",0,0,1,0,0,0,0,0,0
"vadinHA49",0,0,0,0,1,0,0,0,0
"Vermiphilaceae",0,0,0,0,1,0,0,0,0
"Vicinamibacteraceae",1,1,1,1,0,1,1,1,1
"WD2101_soil_group",1,1,1,1,1,1,1,1,1
"WD260",0,0,0,0,1,0,0,0,0
"WPS-2",0,0,0,0,1,0,0,0,0
"WWH38",0,0,0,0,1,0,0,0,0
"WX65",0,1,0,0,0,1,0,0,1
"Zavarzinella",0,0,1,0,1,0,0,0,0
